id,official_name,alias_name,total_leaf_node
11012,สำนักงานเศรษฐกิจการค้า,,0
11013,องค์การคลังสินค้า,,13
12001,กรมการปกครอง,,981
12002,กรมการพัฒนาชุมชน,,93
12003,กรมที่ดิน,,107
12004,กรมป้องกันและบรรเทาสาธารณภัย,,118
12005,กรมส่งเสริมการปกครองท้องถิ่น,,93
12006,กรมโยธาธิการและผังเมือง,,110
12007,กรุงเทพมหานคร,,1
12008,การประปานครหลวง,,77
12009,การประปาส่วนภูมิภาค,,375
12010,การไฟฟ้านครหลวง,,58
12011,การไฟฟ้าส่วนภูมิภาค,,211
12012,ศูนย์ดำรงธรรม,,0
12013,สำนักงานปลัดกระทรวงมหาดไทย,,26
12014,องค์กรปกครองส่วนท้องถิ่น,,0
12015,องค์การจัดการน้ำเสีย,,24
12016,องค์การตลาด,,20
13001,กรมคุมประพฤติ,,133
13002,กรมคุ้มครองสิทธิและเสรีภาพ,,19
13003,กรมบังคับคดี,,102
13004,กรมพินิจและคุ้มครองเด็กและเยาวชน,,123
13005,กรมราชทัณฑ์,,162
13006,กรมสอบสวนคดีพิเศษ,,34
13007,สถาบันนิติวิทยาศาสตร์,,14
13008,สถาบันอนุญาโตตุลาการ,,1
13009,สถาบันเพื่อการยุติธรรมแห่งประเทศไทย (องค์การมหาชน),,1
13010,สำนักงานกิจการยุติธรรม,,11
13011,สำนักงานคณะกรรมการป้องกันและปราบปรามยาเสพติด,,24
13012,สำนักงานปลัดกระทรวงยุติธรรม,,110
13013,สำนักงานรัฐมนตรี,,5
14001,กรมการศาสนา,,8
14002,กรมศิลปากร,,96
14003,กรมส่งเสริมวัฒนธรรม,,10
14004,กองทุนพัฒนาสื่อปลอดภัยและสร้างสรรค์ (องค์การมหาชน),,1
14005,ศูนย์คุณธรรม (องค์การมหาชน),,2
14006,ศูนย์มานุษยวิทยาสิรินธร (องค์การมหาชน),,2
14007,สถาบันบัณฑิตพัฒนศิลป์,,20
14008,สำนักงานปลัดกระทรวงวัฒนธรรม,,90
14009,สำนักงานรัฐมนตรี,,5
14010,สำนักงานศิลปวัฒนธรรมร่วมสมัย,,7
14011,หอภาพยนตร์ (องค์การมหาชน),,2
15001,กองทุนสงเคราะห์ กระทรวงศึกษาธิการ,,0
15002,สถาบันทดสอบทางการศึกษาแห่งชาติ (องค์การมหาชน),,7
15003,สถาบันระหว่างประเทศเพื่อการค้าและการพัฒนา,,0
15004,สถาบันวิทยาลัยชุมชน,,6
15005,สถาบันส่งเสริมการสอนวิทยาศาสตร์และเทคโนโลยี,['สสวท.'],6
15006,สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,,211
15007,สำนักงานคณะกรรมการการอาชีวศึกษา,,17
15008,สำนักงานคณะกรรมการส่งเสริมสวัสดิการและสวัสดิภาพครูและบุคลากรทางการศึกษา,,91
15009,สำนักงานปลัดกระทรวงศึกษาธิการ,,220
15010,สำนักงานรัฐมนตรี,,5
15011,สำนักงานรับรองมาตรฐานและประเมินคุณภาพการศึกษา (องค์การมหาชน),,5
15012,สำนักงานลูกเสือแห่งชาติ,,1
15013,สำนักงานส่งเสริมการศึกษานอกระบบและการศึกษาตามอัธยาศัย,,18
15014,สำนักงานเลขาธิการคุรุสภา,,12
15015,สำนักงานเลขาธิการสภาการศึกษา,,13
15016,โรงเรียนมหิดลวิทยานุสรณ์,,1
16001,กรมการแพทย์,,50
16002,กรมการแพทย์แผนไทยและการแพทย์ทางเลือก,,15
16003,กรมควบคุมโรค,,82
16004,กรมวิทยาศาสตร์การแพทย์,,34
16005,กรมสนับสนุนบริการสุขภาพ,,34
16006,กรมสุขภาพจิต,,47
16007,กรมอนามัย,,38
16008,สถาบันการแพทย์ฉุกเฉินแห่งชาติ,,12
16009,สถาบันพระบรมราชชนก,,2
16010,สถาบันรับรองคุณภาพสถานพยาบาล (องค์การมหาชน),,2
16011,สถาบันวัคซีนแห่งชาติ,,5
16012,สถาบันวิจัยระบบสาธารณสุข,,2
16013,สำนักงานคณะกรรมการอาหารและยา,,21
16014,สำนักงานปลัดกระทรวงสาธารณสุข,,123
16015,สำนักงานหลักประกันสุขภาพแห่งชาติ,['สปสช.'],2
16016,สำนักงานหลักประกันสุขภาพแห่งชาติ (nhso),,0
16017,องค์การเภสัชกรรม,,1
16018,โรงพยาบาลบ้านแพ้ว,,0
16019,โรงพยาบาลบ้านแพ้ว (องค์การมหาชน),,1
17001,กรมส่งเสริมอุตสาหกรรม,,24
17002,กรมอุตสาหกรรมพื้นฐานและการเหมืองแร่,,18
17003,กรมโรงงานอุตสาหกรรม,,17
17004,การนิคมอุตสาหกรรมแห่งประเทศไทย,,99
17005,สถาบันการก่อสร้างแห่งประเทศไทย,,0
17006,สถาบันพลาสติก,,0
17007,สถาบันพัฒนาวิสาหกิจขนาดกลางและขนาดย่อม,,0
17008,สถาบันพัฒนาอุตสาหกรรมสิ่งทอ,,0
17009,สถาบันยานยนต์,,0
17010,สถาบันรับรองมาตรฐานไอเอสโอ,,0
17011,สถาบันอาหาร,,0
17012,สถาบันเพิ่มผลผลิตแห่งชาติ,,0
17013,สถาบันเหล็กและเหล็กกล้าแห่งประเทศไทย,,0
17014,สถาบันไทย - เยอรมัน,,0
17015,สถาบันไฟฟ้าและอิเล็กทรอนิกส์,,0
17016,สำนักงานคณะกรรมการอ้อยและน้ำตาลทราย,,10
17017,สำนักงานปลัดกระทรวงอุตสาหกรรม,,1
17018,สำนักงานปลัดกระทรวงอุตสาหกรรม (ราชการบริหารส่วนกลาง),,11
17019,สำนักงานปลัดกระทรวงอุตสาหกรรม(ราชการบริหารส่วนภูมิภาค),,76
17020,สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม,,17
17021,สำนักงานรัฐมนตรี,,5
17022,สำนักงานเพื่อการพัฒนาระเบียงเศรษฐกิจพิเศษภาคตะวันออก,,1
17023,สำนักงานเศรษฐกิจอุตสาหกรรม,,10
18001,กรมการข้าว,,22
18002,กรมชลประทาน,,177
18003,กรมตรวจบัญชีสหกรณ์,,92
18004,กรมประมง,,301
18005,กรมปศุศัตว์,,77
18006,กรมปศุสัตว์,,81
